Time,Speed(m/s),Angle(deg),OptimalAngle(deg),Dist(m),ReleaseHt(m)
28,9.53972,75,45.1635,29.8365,0,6.75,1.8
29,9.53972,75,45.1635,29.8365,0,6.75,1.8
30,9.53972,75,45.1635,29.8365,0,6.75,1.8
31,9.53972,75,45.1635,29.8365,0,6.75,1.8
32,9.53972,75,45.1635,29.8365,0,6.75,1.8
33,9.53972,75,45.1635,29.8365,0,6.75,1.8
34,9.53972,75,45.1635,29.8365,0,6.75,1.8
35,9.53972,75,45.1635,29.8365,0,6.75,1.8
36,9.53972,75,45.1635,29.8365,0,6.75,1.8
37,9.53972,75,45.1635,29.8365,0,6.75,1.8
38,9.53972,75,45.1635,29.8365,0,6.75,1.8
39,9.53972,75,45.1635,29.8365,0,6.75,1.8
40,9.53972,75,45.1635,29.8365,0,6.75,1.8
41,9.53972,75,45.1635,29.8365,0,6.75,1.8
42,9.53972,75,45.1635,29.8365,0,6.75,1.8
